ticker,retorno_medio_60d,volatilidade_media_63d,taxa_superacao,drawdown_medio_252d,liquidez_media_21d,perfil_ativo
BPAC11,0.07307481525033604,0.45799081032972105,0.5835322195704057,-0.21695333813044199,27893062628.41232,Arrojado
PRIO3,0.08842493165149838,0.6009808143252647,0.5071599045346062,-0.3515711589594243,33029305589.166386,Arrojado
BRFS3,0.02651913516442749,0.468860098490118,0.4952038369304556,-0.2866469114159489,19212285267.446045,Arrojado
VALE3,0.025426240035131963,0.34282129458763194,0.4755369928400955,-0.1986383681798062,179285282417.627,Arrojado
RADL3,-0.0025800868875609554,0.3673901821656082,0.47315035799522676,-0.25496341687300117,15870885752.741789,Arrojado
PETR3,0.020015591116793775,0.39181532664324614,0.47255369928400953,-0.162023821553964,47277827159.37749,Arrojado
ITUB4,0.012867034790880827,0.29254369622395454,0.4659904534606205,-0.179145055259528,88585180310.19717,Arrojado
TAEE11,0.02033056419452842,0.19183458064060563,0.45823389021479716,-0.09174846693914511,7223478623.943062,Arrojado
RENT3,0.028053587132597025,0.40481988695268395,0.45584725536992843,-0.18814179121439903,35568202063.74304,Arrojado
SUZB3,0.014114378721871308,0.33684875446744494,0.4552505966587112,-0.19823525975440295,34122089590.05853,Arrojado
ELET6,0.027260659518081078,0.34768486377018093,0.4457040572792363,-0.1658242769650495,9631103923.167406,Arrojado
CPFE3,0.019316683175440504,0.2632579429305825,0.44093078758949883,-0.11431134087685632,7337708515.970565,Arrojado
ELET3,0.03038920482876481,0.38996843378794943,0.4403341288782816,-0.17306398183617977,28585146035.202866,Arrojado
VIVT3,0.0006807898649979322,0.27816138751265285,0.43675417661097854,-0.14686062577670592,8613120234.739742,Arrojado
B3SA3,-0.0013376531976246112,0.42418109210370986,0.42962962962962964,-0.25445650721451024,56112212920.76425,Arrojado
BBAS3,-0.010252798249953858,0.34491008449131455,0.4200477326968974,-0.22932243104961922,56484592266.956474,Arrojado
KLBN11,0.007759910127709339,0.27558415593334806,0.4146778042959427,-0.16667013232690003,12136800227.738947,Arrojado
UGPA3,-0.0018990626549521517,0.4284463216577693,0.4128878281622912,-0.30782566547724094,12154727718.561768,Arrojado
GGBR4,0.027665436064235934,0.3755056594793716,0.4021479713603819,-0.21730137026249272,27527951696.766678,Arrojado
CCRO3,0.005363242047023032,0.34871537259941154,0.4014039566049777,-0.16166132534004474,12197300062.585468,Arrojado
ABEV3,-0.0022930724653694237,0.2738320088007828,0.3937947494033413,-0.17772653063290636,39189824367.229225,Arrojado
CSNA3,0.030968544090970267,0.5019327631846413,0.389618138424821,-0.3261571389236845,20167573790.45346,Arrojado
RAIL3,0.0003996361622619078,0.3344586771862178,0.38424821002386633,-0.1494656925342882,22075878692.877033,Arrojado
LREN3,-0.018065280406729025,0.434146075275433,0.37291169451073986,-0.2608138190276991,30470811975.88078,Arrojado
SANB11,-0.0022505534025233365,0.31096370283595376,0.34725536992840095,-0.1867734740824662,8315367138.396409,Arrojado
BBDC4,-0.01497094143146373,0.3376852645982705,0.3048926014319809,-0.24293318866542035,74211988078.54018,Arrojado
TIMS3,0.04372439346194781,0.2497288984128649,0.5860323886639676,-0.0847614484869864,11119091797.055138,Conservador relativo
HAPV3,0.4712775123706699,1.6225726351257908,0.42401500938086306,-0.38475383102874444,24037436078.245335,Especulativo
MGLU3,0.1525550297519549,1.3703463897417831,0.4146778042959427,-0.5490957969444054,50547050723.448685,Especulativo
SBSP3,0.056690146318356484,0.3406023204758192,0.64618138424821,-0.13214205475548294,21036171885.21423,Moderado
WEGE3,0.05807493257409935,0.36064357934203645,0.5930787589498807,-0.20262931698041795,27435445167.94522,Moderado
VIVA3,0.02849132415563153,0.38289726309719546,0.5173807599029911,-0.20381942828236102,5462363253.497325,Moderado
JBSS3,0.058336483613061756,0.3807698733777633,0.5160075329566854,-0.18290784348310923,30272767639.4135,Moderado
EQTL3,0.004068272607703709,0.3194775357824725,0.5065632458233891,-0.18518289446669048,20155762378.352654,Moderado
PETR4,0.021259917887058395,0.3842772552055438,0.4821002386634845,-0.16253559672215367,171994695966.6269,Moderado
