ticker,retorno_medio_60d,volatilidade_media_63d,liquidez_media_21d,taxa_superacao,drawdown_medio_252d,sharpe_medio_63d
ABEV3,-0.0022930724653694237,0.2738320088007828,39189824367.229225,0.3937947494033413,-0.17772653063290636,-0.0032478850597711583
B3SA3,-0.0013376531976246112,0.42418109210370986,56112212920.76425,0.42962962962962964,-0.25445650721451024,0.04164460347910621
BBAS3,-0.010252798249953858,0.34491008449131455,56484592266.956474,0.4200477326968974,-0.22932243104961922,0.0779003736790991
BBDC4,-0.01497094143146373,0.3376852645982705,74211988078.54018,0.3048926014319809,-0.24293318866542035,-0.01342104948770383
BPAC11,0.07307481525033604,0.45799081032972105,27893062628.41232,0.5835322195704057,-0.21695333813044199,0.30897507720192774
BRFS3,0.02651913516442749,0.468860098490118,19212285267.446045,0.4952038369304556,-0.2866469114159489,0.08194708338400104
CCRO3,0.005363242047023032,0.34871537259941154,12197300062.585468,0.4014039566049777,-0.16166132534004474,0.05192980818223389
CPFE3,0.019316683175440504,0.2632579429305825,7337708515.970565,0.44093078758949883,-0.11431134087685632,0.11073293203235328
CSNA3,0.030968544090970267,0.5019327631846413,20167573790.45346,0.389618138424821,-0.3261571389236845,0.06346036224488887
ELET3,0.03038920482876481,0.38996843378794943,28585146035.202866,0.4403341288782816,-0.17306398183617977,0.10507970516426349
ELET6,0.027260659518081078,0.34768486377018093,9631103923.167406,0.4457040572792363,-0.1658242769650495,0.10730793932116633
EQTL3,0.004068272607703709,0.3194775357824725,20155762378.352654,0.5065632458233891,-0.18518289446669048,0.14531267694461159
GGBR4,0.027665436064235934,0.3755056594793716,27527951696.766678,0.4021479713603819,-0.21730137026249272,0.0617289757395828
HAPV3,0.4712775123706699,1.6225726351257908,24037436078.245335,0.42401500938086306,-0.38475383102874444,0.03904307864665332
ITUB4,0.012867034790880827,0.29254369622395454,88585180310.19717,0.4659904534606205,-0.179145055259528,0.08768964179200532
JBSS3,0.058336483613061756,0.3807698733777633,30272767639.4135,0.5160075329566854,-0.18290784348310923,0.20556487155079503
KLBN11,0.007759910127709339,0.27558415593334806,12136800227.738947,0.4146778042959427,-0.16667013232690003,0.029341409595275474
LREN3,-0.018065280406729025,0.434146075275433,30470811975.88078,0.37291169451073986,-0.2608138190276991,0.009907503721045926
MGLU3,0.1525550297519549,1.3703463897417831,50547050723.448685,0.4146778042959427,-0.5490957969444054,-0.031023690230856434
PETR3,0.020015591116793775,0.39181532664324614,47277827159.37749,0.47255369928400953,-0.162023821553964,0.10717571076360853
PETR4,0.021259917887058395,0.3842772552055438,171994695966.6269,0.4821002386634845,-0.16253559672215367,0.10907916629229425
PRIO3,0.08842493165149838,0.6009808143252647,33029305589.166386,0.5071599045346062,-0.3515711589594243,0.23375233211333152
RADL3,-0.0025800868875609554,0.3673901821656082,15870885752.741789,0.47315035799522676,-0.25496341687300117,0.04779802355782043
RAIL3,0.0003996361622619078,0.3344586771862178,22075878692.877033,0.38424821002386633,-0.1494656925342882,0.04106575489324964
RENT3,0.028053587132597025,0.40481988695268395,35568202063.74304,0.45584725536992843,-0.18814179121439903,0.10350114827860081
SANB11,-0.0022505534025233365,0.31096370283595376,8315367138.396409,0.34725536992840095,-0.1867734740824662,-0.014499550637849945
SBSP3,0.056690146318356484,0.3406023204758192,21036171885.21423,0.64618138424821,-0.13214205475548294,0.23075326343102343
SUZB3,0.014114378721871308,0.33684875446744494,34122089590.05853,0.4552505966587112,-0.19823525975440295,0.07365413286770289
TAEE11,0.02033056419452842,0.19183458064060563,7223478623.943062,0.45823389021479716,-0.09174846693914511,0.10514917025790115
TIMS3,0.04372439346194781,0.2497288984128649,11119091797.055138,0.5860323886639676,-0.0847614484869864,0.18344134963763203
UGPA3,-0.0018990626549521517,0.4284463216577693,12154727718.561768,0.4128878281622912,-0.30782566547724094,0.07574336657371143
VALE3,0.025426240035131963,0.34282129458763194,179285282417.627,0.4755369928400955,-0.1986383681798062,0.04854796497765134
VIVA3,0.02849132415563153,0.38289726309719546,5462363253.497325,0.5173807599029911,-0.20381942828236102,0.09813996145136102
VIVT3,0.0006807898649979322,0.27816138751265285,8613120234.739742,0.43675417661097854,-0.14686062577670592,0.07757856530808137
WEGE3,0.05807493257409935,0.36064357934203645,27435445167.94522,0.5930787589498807,-0.20262931698041795,0.22218690008342876
