faixa_probabilidade,qtd_observacoes,taxa_superacao_real,probabilidade_media
Muito baixa,2312,0.40657439446366783,0.33870092621147746
Baixa,2312,0.3672145328719723,0.40395582283691894
Média,2312,0.37846020761245674,0.45415813873114913
Alta,2312,0.4234429065743945,0.4919564776524599
Muito alta,2312,0.49048442906574397,0.5255259575153135
