ticker,volatilidade_media_63d
HAPV3,1.6225726351257908
MGLU3,1.3703463897417831
PRIO3,0.6009808143252647
CSNA3,0.5019327631846413
BRFS3,0.468860098490118
BPAC11,0.45799081032972105
LREN3,0.434146075275433
UGPA3,0.4284463216577693
B3SA3,0.42418109210370986
RENT3,0.40481988695268395
PETR3,0.39181532664324614
ELET3,0.38996843378794943
PETR4,0.3842772552055438
VIVA3,0.38289726309719546
JBSS3,0.3807698733777633
GGBR4,0.3755056594793716
RADL3,0.3673901821656082
WEGE3,0.36064357934203645
CCRO3,0.34871537259941154
ELET6,0.34768486377018093
BBAS3,0.34491008449131455
VALE3,0.34282129458763194
SBSP3,0.3406023204758192
BBDC4,0.3376852645982705
SUZB3,0.33684875446744494
RAIL3,0.3344586771862178
EQTL3,0.3194775357824725
SANB11,0.31096370283595376
ITUB4,0.29254369622395454
VIVT3,0.27816138751265285
KLBN11,0.27558415593334806
ABEV3,0.2738320088007828
CPFE3,0.2632579429305825
TIMS3,0.2497288984128649
TAEE11,0.19183458064060563
