modelo,accuracy,precision_classe_1,recall_classe_1,f1_classe_1,roc_auc
Árvore de Decisão,0.5849480968858132,0.49726205997392436,0.39920452166631776,0.4428704133766837,0.5476508353966841
Random Forest,0.5840830449826989,0.49446626204926813,0.2899309189868118,0.3655318025864344,0.5422327475771772
Regressão Logística,0.5903114186851212,0.5162311955661124,0.13648733514758216,0.21589403973509932,0.5425455177057767
