ticker,retorno_medio_60d
HAPV3,0.4712775123706699
MGLU3,0.1525550297519549
PRIO3,0.08842493165149838
BPAC11,0.07307481525033604
JBSS3,0.058336483613061756
WEGE3,0.05807493257409935
SBSP3,0.056690146318356484
TIMS3,0.04372439346194781
CSNA3,0.030968544090970267
ELET3,0.03038920482876481
VIVA3,0.02849132415563153
RENT3,0.028053587132597025
GGBR4,0.027665436064235934
ELET6,0.027260659518081078
BRFS3,0.02651913516442749
VALE3,0.025426240035131963
PETR4,0.021259917887058395
TAEE11,0.02033056419452842
PETR3,0.020015591116793775
CPFE3,0.019316683175440504
SUZB3,0.014114378721871308
ITUB4,0.012867034790880827
KLBN11,0.007759910127709339
CCRO3,0.005363242047023032
EQTL3,0.004068272607703709
VIVT3,0.0006807898649979322
RAIL3,0.0003996361622619078
B3SA3,-0.0013376531976246112
UGPA3,-0.0018990626549521517
SANB11,-0.0022505534025233365
ABEV3,-0.0022930724653694237
RADL3,-0.0025800868875609554
BBAS3,-0.010252798249953858
BBDC4,-0.01497094143146373
LREN3,-0.018065280406729025
